model_key,model_id,model_short_name,family,size_label,dataset,n_items,pressure_clean_p_wrong,pressure_reset_p_wrong,pressure_gap,pressure_wrong_follow_rate,pressure_source,neutral_gap,neutral_reset_p_wrong,neutral_wrong_follow_rate,correct_reset_p_correct,correct_reset_p_wrong,correct_wrong_follow_rate,neutral_n_scored,correct_n_scored,neutral_source,correct_source,correct_item_source,suite_family
qwen25_15b,Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B,Qwen2.5,1.5B,truthfulqa_mc,500,0.1655446841983342,0.665038211760447,0.49949352756211274,0.672,runs/recovery_hierarchy/recovery_hierarchy_n500/qwen25_15b/truthfulqa_mc/recovery_hierarchy_raw.jsonl,0.016199116504146,0.1817438007024802,0.178,0.630195014300592,0.1185693508025273,0.118,500,500,runs/hysteresis_model_suite_v1/neutral_control/qwen25_15b/truthfulqa_mc/pressure_ramp_summary.csv,runs/hysteresis_model_suite_v1/correct_pressure_control/qwen25_15b/truthfulqa_mc/pressure_ramp_summary.csv,runs/hysteresis_model_suite_v1/correct_pressure_control/qwen25_15b/truthfulqa_mc/pressure_ramp_item_summary.csv,original
qwen25_15b,Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B,Qwen2.5,1.5B,mmlu_pro,500,0.09124088678329587,0.7255437898838972,0.6343029031006013,0.752,runs/recovery_hierarchy/recovery_hierarchy_n500/qwen25_15b/mmlu_pro/recovery_hierarchy_raw.jsonl,-0.0013528114565942,0.0898880753267016,0.09,0.819925565550426,0.0193807699014318,0.014,500,500,runs/hysteresis_model_suite_v1/neutral_control/qwen25_15b/mmlu_pro/pressure_ramp_summary.csv,runs/hysteresis_model_suite_v1/correct_pressure_control/qwen25_15b/mmlu_pro/pressure_ramp_summary.csv,runs/hysteresis_model_suite_v1/correct_pressure_control/qwen25_15b/mmlu_pro/pressure_ramp_item_summary.csv,original
qwen25_7b,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,Qwen2.5,7B,truthfulqa_mc,500,0.09597502619342342,0.10693740521256323,0.010962379019139799,0.106,runs/recovery_hierarchy/recovery_hierarchy_n500/qwen25_7b/truthfulqa_mc/recovery_hierarchy_raw.jsonl,0.0011854420429078,0.0971604682363313,0.098,0.7382549394043394,0.0627084636711892,0.064,500,500,runs/hysteresis_model_suite_v1/neutral_control/qwen25_7b/truthfulqa_mc/pressure_ramp_summary.csv,runs/hysteresis_model_suite_v1/correct_pressure_control/qwen25_7b/truthfulqa_mc/pressure_ramp_summary.csv,runs/hysteresis_model_suite_v1/correct_pressure_control/qwen25_7b/truthfulqa_mc/pressure_ramp_item_summary.csv,original
qwen25_7b,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,Qwen2.5,7B,mmlu_pro,500,0.0806055196700934,0.3425486287853029,0.2619431091152095,0.344,runs/recovery_hierarchy/recovery_hierarchy_n500/qwen25_7b/mmlu_pro/recovery_hierarchy_raw.jsonl,-0.0229165893911153,0.0576889302789781,0.058,0.7257536707285074,0.034420104962379,0.034,500,500,runs/hysteresis_model_suite_v1/neutral_control/qwen25_7b/mmlu_pro/pressure_ramp_summary.csv,runs/hysteresis_model_suite_v1/correct_pressure_control/qwen25_7b/mmlu_pro/pressure_ramp_summary.csv,runs/hysteresis_model_suite_v1/correct_pressure_control/qwen25_7b/mmlu_pro/pressure_ramp_item_summary.csv,original
qwen25_14b,Qwen/Qwen2.5-14B-Instruct,Qwen2.5-14B,Qwen2.5,14B,truthfulqa_mc,500,0.0760056316692018,0.11270330468859475,0.036697673019392966,0.114,runs/recovery_hierarchy/recovery_hierarchy_n500/qwen25_14b/truthfulqa_mc/recovery_hierarchy_raw.jsonl,-0.0014479604987489,0.0745576711704528,0.078,0.8209907435470776,0.0502595009914568,0.052,500,500,runs/hysteresis_model_suite_v1/neutral_control/qwen25_14b/truthfulqa_mc/pressure_ramp_summary.csv,runs/hysteresis_model_suite_v1/correct_pressure_control/qwen25_14b/truthfulqa_mc/pressure_ramp_summary.csv,runs/hysteresis_model_suite_v1/correct_pressure_control/qwen25_14b/truthfulqa_mc/pressure_ramp_item_summary.csv,original
qwen25_14b,Qwen/Qwen2.5-14B-Instruct,Qwen2.5-14B,Qwen2.5,14B,mmlu_pro,500,0.08411410963399409,0.3562200871405451,0.27210597750655097,0.358,runs/recovery_hierarchy/recovery_hierarchy_n500/qwen25_14b/mmlu_pro/recovery_hierarchy_raw.jsonl,-0.008528485440493,0.075585624193501,0.074,0.8005800891873932,0.0288576106413111,0.028,500,500,runs/hysteresis_model_suite_v1/neutral_control/qwen25_14b/mmlu_pro/pressure_ramp_summary.csv,runs/hysteresis_model_suite_v1/correct_pressure_control/qwen25_14b/mmlu_pro/pressure_ramp_summary.csv,runs/hysteresis_model_suite_v1/correct_pressure_control/qwen25_14b/mmlu_pro/pressure_ramp_item_summary.csv,original
mistral7b_v03,mistralai/Mistral-7B-Instruct-v0.3,Mistral-7B-v0.3,Mistral,7B,truthfulqa_mc,500,0.10493169119788996,0.3519581999484691,0.2470265087505791,0.368,runs/recovery_hierarchy/recovery_hierarchy_n500/mistral7b_v03/truthfulqa_mc/recovery_hierarchy_raw.jsonl,-0.0112560911042659,0.0936756000936239,0.094,0.8396447631149977,0.0416754760999023,0.038,500,500,runs/hysteresis_model_suite_v1/neutral_control/mistral7b_v03/truthfulqa_mc/pressure_ramp_summary.csv,runs/hysteresis_model_suite_v1/correct_pressure_control/mistral7b_v03/truthfulqa_mc/pressure_ramp_summary.csv,runs/hysteresis_model_suite_v1/correct_pressure_control/mistral7b_v03/truthfulqa_mc/pressure_ramp_item_summary.csv,original
mistral7b_v03,mistralai/Mistral-7B-Instruct-v0.3,Mistral-7B-v0.3,Mistral,7B,mmlu_pro,500,0.09074530212072882,0.7499567323059989,0.6592114301852702,0.756,runs/recovery_hierarchy/recovery_hierarchy_n500/mistral7b_v03/mmlu_pro/recovery_hierarchy_raw.jsonl,-0.0161395619313598,0.0746057401893689,0.074,0.8919775450436779,0.0098744390830841,0.008,500,500,runs/hysteresis_model_suite_v1/neutral_control/mistral7b_v03/mmlu_pro/pressure_ramp_summary.csv,runs/hysteresis_model_suite_v1/correct_pressure_control/mistral7b_v03/mmlu_pro/pressure_ramp_summary.csv,runs/hysteresis_model_suite_v1/correct_pressure_control/mistral7b_v03/mmlu_pro/pressure_ramp_item_summary.csv,original
llama31_8b,meta-llama/Llama-3.1-8B-Instruct,Llama3.1-8B,Llama,8B,truthfulqa_mc,500,0.12594080077918918,0.06833180806894007,-0.05760899271024912,0.05,runs/recovery_hierarchy_expanded_family_v1/raw/llama31_8b/truthfulqa_mc/recovery_hierarchy_raw.jsonl,-0.0386056739104271,0.087335126868762,0.06,0.5403025719741497,0.1397327681746057,0.12,500,500,runs/behavioral_controls_expanded_family_v1/neutral_control/llama31_8b/truthfulqa_mc/pressure_ramp_summary.csv,runs/behavioral_controls_expanded_family_v1/correct_pressure_control/llama31_8b/truthfulqa_mc/pressure_ramp_summary.csv,runs/behavioral_controls_expanded_family_v1/correct_pressure_control/llama31_8b/truthfulqa_mc/pressure_ramp_item_summary.csv,expanded
llama31_8b,meta-llama/Llama-3.1-8B-Instruct,Llama3.1-8B,Llama,8B,mmlu_pro,500,0.08512578929966108,0.2669675275090834,0.18184173820942232,0.326,runs/recovery_hierarchy_expanded_family_v1/raw/llama31_8b/mmlu_pro/recovery_hierarchy_raw.jsonl,0.0011768790137552,0.0863026683134163,0.082,0.44379234518718147,0.070418966297174,0.068,500,500,runs/behavioral_controls_expanded_family_v1/neutral_control/llama31_8b/mmlu_pro/pressure_ramp_summary.csv,runs/behavioral_controls_expanded_family_v1/correct_pressure_control/llama31_8b/mmlu_pro/pressure_ramp_summary.csv,runs/behavioral_controls_expanded_family_v1/correct_pressure_control/llama31_8b/mmlu_pro/pressure_ramp_item_summary.csv,expanded
