table_name,model,model_key,dataset,dataset_key,condition_or_operation,metric,estimate,ci_low,ci_high,n_items,bootstrap_samples,seed,informative,notes
failure_decomposition,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,ordinary_reset,stable_correct,0.064,0.044,0.086,500,10000,12345,True,
failure_decomposition,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,ordinary_reset,history_contamination,0.262,0.224,0.302,500,10000,12345,True,
failure_decomposition,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,ordinary_reset,context_correction,0.026,0.014,0.042,500,10000,12345,True,
failure_decomposition,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,ordinary_reset,task_failure,0.648,0.604,0.69,500,10000,12345,True,
failure_decomposition,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,ordinary_reset,contamination_given_clean_correct,0.6932515337423313,0.6195599579242637,0.7621951219512195,500,10000,12345,True,clean_correct_denominator=163
failure_decomposition,Mistral-7B,mistral7b_v03,TruthfulQA-MC,truthfulqa_mc,ordinary_reset,stable_correct,0.39,0.346,0.434,500,10000,12345,True,
failure_decomposition,Mistral-7B,mistral7b_v03,TruthfulQA-MC,truthfulqa_mc,ordinary_reset,history_contamination,0.26,0.222,0.3,500,10000,12345,True,
failure_decomposition,Mistral-7B,mistral7b_v03,TruthfulQA-MC,truthfulqa_mc,ordinary_reset,context_correction,0.042,0.026,0.06,500,10000,12345,True,
failure_decomposition,Mistral-7B,mistral7b_v03,TruthfulQA-MC,truthfulqa_mc,ordinary_reset,task_failure,0.308,0.268,0.35,500,10000,12345,True,
failure_decomposition,Mistral-7B,mistral7b_v03,TruthfulQA-MC,truthfulqa_mc,ordinary_reset,contamination_given_clean_correct,0.28,0.2312088424672569,0.33015873015873015,500,10000,12345,True,clean_correct_denominator=325
failure_decomposition,Qwen2.5-1.5B,qwen25_15b,MMLU-Pro,mmlu_pro,ordinary_reset,stable_correct,0.058,0.038,0.078,500,10000,12345,True,
failure_decomposition,Qwen2.5-1.5B,qwen25_15b,MMLU-Pro,mmlu_pro,ordinary_reset,history_contamination,0.216,0.182,0.252,500,10000,12345,True,
failure_decomposition,Qwen2.5-1.5B,qwen25_15b,MMLU-Pro,mmlu_pro,ordinary_reset,context_correction,0.028,0.014,0.044,500,10000,12345,True,
failure_decomposition,Qwen2.5-1.5B,qwen25_15b,MMLU-Pro,mmlu_pro,ordinary_reset,task_failure,0.698,0.658,0.738,500,10000,12345,True,
failure_decomposition,Qwen2.5-1.5B,qwen25_15b,MMLU-Pro,mmlu_pro,ordinary_reset,contamination_given_clean_correct,0.7299270072992701,0.655996103896104,0.8027210884353742,500,10000,12345,True,clean_correct_denominator=137
failure_decomposition,Qwen2.5-1.5B,qwen25_15b,TruthfulQA-MC,truthfulqa_mc,ordinary_reset,stable_correct,0.076,0.054,0.1,500,10000,12345,True,
failure_decomposition,Qwen2.5-1.5B,qwen25_15b,TruthfulQA-MC,truthfulqa_mc,ordinary_reset,history_contamination,0.416,0.372,0.46,500,10000,12345,True,
failure_decomposition,Qwen2.5-1.5B,qwen25_15b,TruthfulQA-MC,truthfulqa_mc,ordinary_reset,context_correction,0.012,0.004,0.022,500,10000,12345,True,
