table_name,model,model_key,dataset,dataset_key,condition_or_operation,metric,estimate,ci_low,ci_high,n_items,bootstrap_samples,seed,informative,notes
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R0 Ordinary reset,p_wrong,0.7499567323059989,0.7134042592901457,0.7861251863090418,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R0 Ordinary reset,p_correct,0.09084874490613813,0.06716589186336329,0.11613627742011268,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R0 Ordinary reset,accuracy,0.09,0.066,0.116,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R0 Ordinary reset,hysteresis_gap,0.6592114301852702,0.6184897267223143,0.6983139982266297,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R0 Ordinary reset,entropy,0.08053167681475111,0.06203560600849031,0.09995794393719053,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R0 Ordinary reset,max_probability,0.9709155581073732,0.9626452143839477,0.9787259736520901,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R0 Ordinary reset,restoration_ratio,0.0,0.0,0.0,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R0 Ordinary reset,clean_context_like_strict,0.0,,,500,10000,12345,True,Deterministic aggregate classification; CI not bootstrapped
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R0 Ordinary reset,clean_context_like_main,0.0,,,500,10000,12345,True,Deterministic aggregate classification; CI not bootstrapped
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R0 Ordinary reset,clean_context_like_loose,0.0,,,500,10000,12345,True,Deterministic aggregate classification; CI not bootstrapped
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R1 User retraction,p_wrong,0.7143863228610093,0.6774525616694321,0.7510839449814339,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R1 User retraction,p_correct,0.1028369204224212,0.0785541194832078,0.12862660160832803,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R1 User retraction,accuracy,0.1,0.074,0.128,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R1 User retraction,hysteresis_gap,0.6236410207402805,0.5820781604296152,0.6640859540802604,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R1 User retraction,entropy,0.11548855769925018,0.09283078875244337,0.1396556814776938,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R1 User retraction,max_probability,0.958862976471208,0.9490044900319901,0.968182114672255,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R1 User retraction,restoration_ratio,0.05395903016273941,0.03788128642943896,0.07151651441609355,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R1 User retraction,clean_context_like_strict,0.0,,,500,10000,12345,True,Deterministic aggregate classification; CI not bootstrapped
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R1 User retraction,clean_context_like_main,0.0,,,500,10000,12345,True,Deterministic aggregate classification; CI not bootstrapped
