level,model_key,model,dataset,x_metric,y_metric,pearson,spearman,n
item,gemma2_2b,Gemma-2-2B,mmlu_pro,alpha_star,p_wrong_reset,0.5003969419497857,0.325808473656801,500
item,gemma2_2b,Gemma-2-2B,mmlu_pro,alpha_star,wrong_follow_reset,0.4861210647963527,0.3360779419527604,500
item,gemma2_2b,Gemma-2-2B,mmlu_pro,alpha_star,KL_clean_reset,0.678890525246364,0.49233081235333614,500
item,gemma2_2b,Gemma-2-2B,mmlu_pro,alpha_star,entropy_delta_reset,-0.5008051934361348,-0.7265750210181343,500
item,gemma2_2b,Gemma-2-2B,mmlu_pro,alpha_star,max_prob_delta_reset,0.46230149008838317,0.7152810803799498,500
item,gemma2_2b,Gemma-2-2B,truthfulqa_mc,alpha_star,p_wrong_reset,0.3916574112205463,0.3608364913645269,500
item,gemma2_2b,Gemma-2-2B,truthfulqa_mc,alpha_star,wrong_follow_reset,0.38683385903043166,0.3496325011408702,500
item,gemma2_2b,Gemma-2-2B,truthfulqa_mc,alpha_star,KL_clean_reset,0.8336081988633639,0.8075824993029732,500
item,gemma2_2b,Gemma-2-2B,truthfulqa_mc,alpha_star,entropy_delta_reset,-0.3733613193447774,-0.49439156674421453,500
item,gemma2_2b,Gemma-2-2B,truthfulqa_mc,alpha_star,max_prob_delta_reset,0.3407164807072294,0.49055117241008445,500
item,gemma2_9b,Gemma-2-9B,mmlu_pro,alpha_star,p_wrong_reset,0.3888008080127932,0.43396132503011065,500
item,gemma2_9b,Gemma-2-9B,mmlu_pro,alpha_star,wrong_follow_reset,0.38483801848857785,0.3463082388828641,500
item,gemma2_9b,Gemma-2-9B,mmlu_pro,alpha_star,KL_clean_reset,0.7623520790656038,0.8128397688298745,500
item,gemma2_9b,Gemma-2-9B,mmlu_pro,alpha_star,entropy_delta_reset,-0.6730836318908081,-0.7771868474010692,500
item,gemma2_9b,Gemma-2-9B,mmlu_pro,alpha_star,max_prob_delta_reset,0.6403471804283515,0.7743623031111811,500
item,gemma2_9b,Gemma-2-9B,truthfulqa_mc,alpha_star,p_wrong_reset,0.24745995068627274,0.4473392438893766,500
item,gemma2_9b,Gemma-2-9B,truthfulqa_mc,alpha_star,wrong_follow_reset,0.24676943989974126,0.24722803499614213,500
item,gemma2_9b,Gemma-2-9B,truthfulqa_mc,alpha_star,KL_clean_reset,0.8530360094014221,0.7132981239316485,500
item,gemma2_9b,Gemma-2-9B,truthfulqa_mc,alpha_star,entropy_delta_reset,-0.6425027182172368,-0.537427346416022,500
item,gemma2_9b,Gemma-2-9B,truthfulqa_mc,alpha_star,max_prob_delta_reset,0.57750849298373,0.5373194299720534,500
item,llama31_8b,Llama-3.1-8B,mmlu_pro,alpha_star,p_wrong_reset,0.38678060641698453,0.3990055320038229,500
item,llama31_8b,Llama-3.1-8B,mmlu_pro,alpha_star,wrong_follow_reset,0.34833415854801386,0.3301508232775919,500
item,llama31_8b,Llama-3.1-8B,mmlu_pro,alpha_star,KL_clean_reset,0.5713015448017795,0.7874272854291602,500
item,llama31_8b,Llama-3.1-8B,mmlu_pro,alpha_star,entropy_delta_reset,-0.32665433969109003,-0.3685588680259308,500
item,llama31_8b,Llama-3.1-8B,mmlu_pro,alpha_star,max_prob_delta_reset,0.2886224862904553,0.33682016496377654,500
item,llama31_8b,Llama-3.1-8B,truthfulqa_mc,alpha_star,p_wrong_reset,0.22339903582055573,0.4485531014246256,500
item,llama31_8b,Llama-3.1-8B,truthfulqa_mc,alpha_star,wrong_follow_reset,0.10359769618055652,0.09647673252260032,500
item,llama31_8b,Llama-3.1-8B,truthfulqa_mc,alpha_star,KL_clean_reset,0.6466106025430449,0.9045214517102516,500
item,llama31_8b,Llama-3.1-8B,truthfulqa_mc,alpha_star,entropy_delta_reset,-0.06556566103008674,-0.031704276628716783,500
item,llama31_8b,Llama-3.1-8B,truthfulqa_mc,alpha_star,max_prob_delta_reset,0.017026800868510873,-0.016373171805540876,500
item,mistral_7b,Mistral-7B,mmlu_pro,alpha_star,p_wrong_reset,0.3747352918011697,0.19240068152985396,500
item,mistral_7b,Mistral-7B,mmlu_pro,alpha_star,wrong_follow_reset,0.35676398243556745,0.24346844942877163,500
item,mistral_7b,Mistral-7B,mmlu_pro,alpha_star,KL_clean_reset,0.619373825380146,0.40271675804938195,500
item,mistral_7b,Mistral-7B,mmlu_pro,alpha_star,entropy_delta_reset,-0.5413911983671357,-0.6822494687792682,500
item,mistral_7b,Mistral-7B,mmlu_pro,alpha_star,max_prob_delta_reset,0.5022102842414714,0.6677563347294624,500
item,mistral_7b,Mistral-7B,truthfulqa_mc,alpha_star,p_wrong_reset,0.4225511121532583,0.4595670239024706,500
item,mistral_7b,Mistral-7B,truthfulqa_mc,alpha_star,wrong_follow_reset,0.42483340035794076,0.440912500767969,500
item,mistral_7b,Mistral-7B,truthfulqa_mc,alpha_star,KL_clean_reset,0.7685626627843741,0.8599010444430811,500
item,mistral_7b,Mistral-7B,truthfulqa_mc,alpha_star,entropy_delta_reset,-0.2946259817341021,-0.2346580765322535,500
item,mistral_7b,Mistral-7B,truthfulqa_mc,alpha_star,max_prob_delta_reset,0.29050977357580476,0.22323100442316243,500
item,qwen25_14b,Qwen2.5-14B,mmlu_pro,alpha_star,p_wrong_reset,0.4359646205782242,0.4640263245108354,500
item,qwen25_14b,Qwen2.5-14B,mmlu_pro,alpha_star,wrong_follow_reset,0.42907153071127707,0.4105748794502317,500
item,qwen25_14b,Qwen2.5-14B,mmlu_pro,alpha_star,KL_clean_reset,0.7058225455411129,0.8128117135116925,500
item,qwen25_14b,Qwen2.5-14B,mmlu_pro,alpha_star,entropy_delta_reset,-0.5692823624927693,-0.6737910098793488,500
item,qwen25_14b,Qwen2.5-14B,mmlu_pro,alpha_star,max_prob_delta_reset,0.5035326198513499,0.671223623910438,500
item,qwen25_14b,Qwen2.5-14B,truthfulqa_mc,alpha_star,p_wrong_reset,0.28515409393309243,0.44452672320354586,500
item,qwen25_14b,Qwen2.5-14B,truthfulqa_mc,alpha_star,wrong_follow_reset,0.28898468404103916,0.3320163765969099,500
item,qwen25_14b,Qwen2.5-14B,truthfulqa_mc,alpha_star,KL_clean_reset,0.7982628872201785,0.7534236438272932,500
item,qwen25_14b,Qwen2.5-14B,truthfulqa_mc,alpha_star,entropy_delta_reset,-0.5528736268106769,-0.44742398553803436,500
item,qwen25_14b,Qwen2.5-14B,truthfulqa_mc,alpha_star,max_prob_delta_reset,0.4778993984664776,0.4477508112974836,500
item,qwen25_15b,Qwen2.5-1.5B,mmlu_pro,alpha_star,p_wrong_reset,0.45359427541525826,0.2778200342213363,500
item,qwen25_15b,Qwen2.5-1.5B,mmlu_pro,alpha_star,wrong_follow_reset,0.4324741960272907,0.3215820660516902,500
item,qwen25_15b,Qwen2.5-1.5B,mmlu_pro,alpha_star,KL_clean_reset,0.6136411765044018,0.5109888508198898,500
item,qwen25_15b,Qwen2.5-1.5B,mmlu_pro,alpha_star,entropy_delta_reset,-0.48087389736536534,-0.5917289807128318,500
item,qwen25_15b,Qwen2.5-1.5B,mmlu_pro,alpha_star,max_prob_delta_reset,0.44796956451603615,0.5806841089043585,500
item,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,alpha_star,p_wrong_reset,0.3249980985628898,0.24229580533258377,500
item,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,alpha_star,wrong_follow_reset,0.31533385180805196,0.27641167250708015,500
item,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,alpha_star,KL_clean_reset,0.7231662363356717,0.7272976213237341,500
item,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,alpha_star,entropy_delta_reset,-0.38548510481094245,-0.5117128413562064,500
item,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,alpha_star,max_prob_delta_reset,0.35432625158046116,0.5102020981292397,500
item,qwen25_7b,Qwen2.5-7B,mmlu_pro,alpha_star,p_wrong_reset,0.3106202340356304,0.2778764725680053,500
item,qwen25_7b,Qwen2.5-7B,mmlu_pro,alpha_star,wrong_follow_reset,0.31162810299699334,0.21455188441363077,500
item,qwen25_7b,Qwen2.5-7B,mmlu_pro,alpha_star,KL_clean_reset,0.7004984988831777,0.7605187540568734,500
item,qwen25_7b,Qwen2.5-7B,mmlu_pro,alpha_star,entropy_delta_reset,-0.6125389994775524,-0.7566578336454378,500
item,qwen25_7b,Qwen2.5-7B,mmlu_pro,alpha_star,max_prob_delta_reset,0.5633679592709827,0.7554084659099787,500
item,qwen25_7b,Qwen2.5-7B,truthfulqa_mc,alpha_star,p_wrong_reset,0.2757937536829729,0.46543747254265067,500
item,qwen25_7b,Qwen2.5-7B,truthfulqa_mc,alpha_star,wrong_follow_reset,0.27139690122982074,0.26640976453207327,500
item,qwen25_7b,Qwen2.5-7B,truthfulqa_mc,alpha_star,KL_clean_reset,0.7565616537002329,0.8238294496958307,500
item,qwen25_7b,Qwen2.5-7B,truthfulqa_mc,alpha_star,entropy_delta_reset,-0.6152298375717988,-0.5386165403192867,500
item,qwen25_7b,Qwen2.5-7B,truthfulqa_mc,alpha_star,max_prob_delta_reset,0.5470116081873242,0.5333664985539344,500
pair,all,all,all,mean_alpha,mean_R0_gap,0.8445041796631648,0.7802197802197802,14
pair,all,all,all,mean_alpha,ordinary_reset_wrong_follow,0.8462234433980945,0.7538461538461538,14
pair,all,all,all,mean_alpha,ordinary_reset_p_wrong,0.8351132088464734,0.7846153846153847,14
