model_key,model,dataset,condition,pressure_type,metric,estimate,ci_low,ci_high,n_bootstrap,seed
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,mean_alpha,0.7034000000000001,0.673439,0.733727,1000,42
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,median_alpha,0.88,0.87,0.89,1000,42
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,mean_history_retention,0.29660000000000003,0.26744949999999995,0.329226,1000,42
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,fraction_alpha_le_050,0.218,0.182,0.25404999999999994,1000,42
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,fraction_alpha_eq_1,0.016,0.006,0.028,1000,42
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,clean_like_rate,1.0,1.0,1.0,1000,42
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,wrong_follow_rate,0.104,0.078,0.13,1000,42
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,mean_p_wrong,0.09432008323961824,0.07485676423011592,0.11511454143099116,1000,42
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,accuracy,0.28,0.242,0.318,1000,42
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,mean_p_correct,0.3005185072861107,0.2676059331650019,0.33491044173871365,1000,42
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,flattening_rate,0.0,0.0,0.0,1000,42
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,mean_KL_clean_projected,0.029441012026172317,0.026498498470411327,0.03234343493749915,1000,42
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,mean_alpha,0.7494400000000001,0.7215634999999999,0.7764890000000001,1000,42
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,median_alpha,0.88,0.859875,0.89,1000,42
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,mean_history_retention,0.25055999999999995,0.2238755,0.27916250000000004,1000,42
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,fraction_alpha_le_050,0.14,0.11195000000000001,0.17,1000,42
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,fraction_alpha_eq_1,0.02,0.01,0.034,1000,42
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,clean_like_rate,1.0,1.0,1.0,1000,42
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,wrong_follow_rate,0.104,0.078,0.132,1000,42
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,mean_p_wrong,0.12910354221472506,0.10767146640488273,0.15128080329297522,1000,42
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,accuracy,0.28,0.242,0.32,1000,42
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,mean_p_correct,0.258980023200906,0.22694275139227058,0.29313742215272465,1000,42
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,flattening_rate,0.0,0.0,0.0,1000,42
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,mean_KL_clean_projected,0.028534312621295573,0.025887166457452253,0.031343041490555126,1000,42
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,mean_alpha,0.36048,0.3246,0.39250250000000003,1000,42
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,median_alpha,0.0,0.0,0.245,1000,42
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,mean_history_retention,0.63952,0.601213,0.674921,1000,42
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,fraction_alpha_le_050,0.574,0.53,0.62,1000,42
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,fraction_alpha_eq_1,0.004,0.0,0.01,1000,42
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,clean_like_rate,1.0,1.0,1.0,1000,42
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,wrong_follow_rate,0.144,0.114,0.174,1000,42
