model_key,model,dataset,wrong_pressure_mean_alpha,correct_pressure_mean_alpha,wrong_pressure_median_alpha,correct_pressure_median_alpha,wrong_pressure_history_retention,correct_pressure_history_retention,correct_pressure_clean_like_rate,correct_pressure_p_correct,correct_pressure_accuracy,correct_pressure_flattening_rate
gemma2_2b,Gemma-2-2B,mmlu_pro,0.7494400000000001,0.7034000000000001,0.88,0.88,0.25055999999999995,0.29660000000000003,1.0,0.3005185072861107,0.28,0.0
gemma2_2b,Gemma-2-2B,truthfulqa_mc,0.46465999999999996,0.36048,0.63,0.0,0.5353399999999999,0.63952,1.0,0.558477689338601,0.552,0.0
gemma2_9b,Gemma-2-9B,mmlu_pro,0.5048400000000001,0.48813999999999996,0.735,0.69,0.49516,0.51186,1.0,0.4322968942829734,0.43,0.0
gemma2_9b,Gemma-2-9B,truthfulqa_mc,0.17244,0.16201999999999997,0.0,0.0,0.82756,0.8379800000000001,1.0,0.7793387679779841,0.784,0.0
llama31_8b,Llama-3.1-8B,mmlu_pro,0.6,0.6148799999999999,0.68,0.7,0.4,0.38512,1.0,0.38108292372699815,0.414,0.0
llama31_8b,Llama-3.1-8B,truthfulqa_mc,0.4021799999999999,0.44894,0.435,0.49,0.59782,0.5510600000000001,1.0,0.6051938739717854,0.632,0.0
mistral_7b,Mistral-7B,mmlu_pro,0.65908,0.62522,0.76,0.78,0.34091999999999995,0.37477999999999995,1.0,0.34963856483578387,0.326,0.0
mistral_7b,Mistral-7B,truthfulqa_mc,0.31762,0.25745999999999997,0.27,0.0,0.6823800000000001,0.74254,1.0,0.6590982855556249,0.65,0.0
qwen25_14b,Qwen2.5-14B,mmlu_pro,0.4713,0.47644,0.56,0.555,0.5287000000000001,0.5235599999999999,1.0,0.47428095718263147,0.456,0.0
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,0.19816000000000003,0.18656,0.0,0.0,0.80184,0.81344,1.0,0.7671625956838234,0.762,0.0
qwen25_15b,Qwen2.5-1.5B,mmlu_pro,0.7183999999999999,0.67844,0.84,0.83,0.2816,0.32156,1.0,0.31119983326732586,0.278,0.0
qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,0.52728,0.38351999999999997,0.63,0.21,0.47272,0.6164799999999999,1.0,0.48907718196041744,0.48,0.0
qwen25_7b,Qwen2.5-7B,mmlu_pro,0.5500200000000001,0.5255799999999999,0.725,0.71,0.44998,0.47442,1.0,0.4459294121304314,0.424,0.0
qwen25_7b,Qwen2.5-7B,truthfulqa_mc,0.27191999999999994,0.27536,0.0,0.0,0.72808,0.72464,1.0,0.7086283934118701,0.7,0.0
