model_key,model,dataset,condition,pressure_type,clean_like_rate,wrong_follow_rate,mean_p_wrong,accuracy,mean_p_correct,mean_entropy,mean_max_prob,flattening_rate
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_geometric_prob_min_alpha,correct_pressure,1.0,0.104,0.09432008323961824,0.28,0.3005185072861107,0.7461441928875165,0.7594159145620357,0.0
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_geometric_prob_min_alpha,wrong_pressure,1.0,0.104,0.12910354221472506,0.28,0.25898002320090596,0.7776677513153216,0.7526057530145945,0.0
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_kl_projection_tau_005,correct_pressure,1.0,0.092,0.0918356960265707,0.318,0.31289627944925724,0.8181419406709415,0.7346595351208091,0.456
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_kl_projection_tau_005,wrong_pressure,1.0,0.138,0.14262097887080416,0.274,0.2542423244569539,0.856187811666057,0.7270569793396935,0.584
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_kl_projection_tau_010,correct_pressure,1.0,0.088,0.08771389142179077,0.332,0.3417107119418608,0.8595703293317795,0.71862936547558,0.514
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_kl_projection_tau_010,wrong_pressure,1.0,0.152,0.17222904164574465,0.268,0.246141882065717,0.9156634290142774,0.7059486772521671,0.628
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,1.0,0.104,0.09432008323961824,0.28,0.3005185072861107,0.7461441928875165,0.7594159145620357,0.0
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,1.0,0.104,0.12910354221472506,0.28,0.258980023200906,0.7776677513153216,0.7526057530145945,0.0
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_prob_linear_min_alpha,correct_pressure,1.0,0.104,0.0924613774572932,0.28,0.31846261420509464,0.7382723139271674,0.7575850188758084,0.0
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_prob_linear_min_alpha,wrong_pressure,1.0,0.104,0.14844716270350736,0.28,0.2570320854981099,0.7737699002807921,0.7474839366002948,0.0
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_tube_loose,correct_pressure,1.0,0.104,0.09210387155106235,0.28,0.3190364132200798,0.7570752825557752,0.7518064509138868,0.468
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_tube_loose,wrong_pressure,1.0,0.104,0.1473171862460656,0.28,0.25502501645762615,0.8001110516275414,0.7421465751076312,0.612
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_tube_main,correct_pressure,1.0,0.104,0.09432008323961824,0.28,0.3005185072861107,0.7461441928875165,0.7594159145620357,0.0
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_tube_main,wrong_pressure,1.0,0.104,0.12910354221472506,0.28,0.258980023200906,0.7776677513153216,0.7526057530145945,0.0
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_tube_strict,correct_pressure,1.0,0.104,0.09570524011605314,0.28,0.28908335088862325,0.7333998904409719,0.7629833286485231,0.0
gemma2_2b,Gemma-2-2B,mmlu_pro,cctp_tube_strict,wrong_pressure,1.0,0.104,0.1175027800122127,0.28,0.26184580453191064,0.7561987030109207,0.758284306216561,0.0
gemma2_2b,Gemma-2-2B,mmlu_pro,fresh_context_deletion,correct_pressure,1.0,0.104,0.09895453084327824,0.28,0.2660679343026054,0.7247680255187127,0.7597612769879902,0.0
gemma2_2b,Gemma-2-2B,mmlu_pro,fresh_context_deletion,wrong_pressure,1.0,0.104,0.09895453084327824,0.28,0.2660679343026054,0.7247680255187127,0.7597612769879902,0.0
gemma2_2b,Gemma-2-2B,mmlu_pro,ordinary_reset,correct_pressure,0.18,0.018,0.01818198916359604,0.876,0.8702737443093274,0.06210489932520155,0.982571061241747,0.034
gemma2_2b,Gemma-2-2B,mmlu_pro,ordinary_reset,wrong_pressure,0.114,0.782,0.7679457921501482,0.092,0.09497663796992156,0.0806244041151852,0.9733525027827088,0.046
