path_variant,model_key,model,dataset,pressure_type,mean_alpha,median_alpha,fraction_alpha_le_050,fraction_alpha_eq_1,clean_like_rate,wrong_follow_rate,mean_p_wrong
geometric_prob,gemma2_2b,Gemma-2-2B,mmlu_pro,correct_pressure,0.7034000000000001,0.88,0.218,0.016,1.0,0.104,0.09432008323961824
geometric_prob,gemma2_2b,Gemma-2-2B,mmlu_pro,wrong_pressure,0.7494400000000001,0.88,0.14,0.02,1.0,0.104,0.12910354221472506
kl_projection_tau_005,gemma2_2b,Gemma-2-2B,mmlu_pro,correct_pressure,0.68802,0.85,0.2,0.0,1.0,0.092,0.0918356960265707
kl_projection_tau_005,gemma2_2b,Gemma-2-2B,mmlu_pro,wrong_pressure,0.7251000000000001,0.84,0.144,0.0,1.0,0.138,0.14262097887080416
kl_projection_tau_010,gemma2_2b,Gemma-2-2B,mmlu_pro,correct_pressure,0.6445799999999999,0.8,0.222,0.0,1.0,0.088,0.08771389142179077
kl_projection_tau_010,gemma2_2b,Gemma-2-2B,mmlu_pro,wrong_pressure,0.68072,0.79,0.162,0.0,1.0,0.152,0.17222904164574465
logit_linear,gemma2_2b,Gemma-2-2B,mmlu_pro,correct_pressure,0.7034000000000001,0.88,0.218,0.016,1.0,0.104,0.09432008323961824
logit_linear,gemma2_2b,Gemma-2-2B,mmlu_pro,wrong_pressure,0.7494400000000001,0.88,0.14,0.02,1.0,0.104,0.12910354221472506
prob_linear,gemma2_2b,Gemma-2-2B,mmlu_pro,correct_pressure,0.6811199999999998,0.92,0.27,0.008,1.0,0.104,0.0924613774572932
prob_linear,gemma2_2b,Gemma-2-2B,mmlu_pro,wrong_pressure,0.77534,0.94,0.178,0.012,1.0,0.104,0.14844716270350736
geometric_prob,gemma2_2b,Gemma-2-2B,truthfulqa_mc,correct_pressure,0.36048,0.0,0.574,0.004,1.0,0.144,0.14094681461260744
geometric_prob,gemma2_2b,Gemma-2-2B,truthfulqa_mc,wrong_pressure,0.46465999999999996,0.63,0.42,0.002,1.0,0.144,0.15852408854728867
kl_projection_tau_005,gemma2_2b,Gemma-2-2B,truthfulqa_mc,correct_pressure,0.36186,0.0,0.556,0.0,1.0,0.142,0.13937536354929345
kl_projection_tau_005,gemma2_2b,Gemma-2-2B,truthfulqa_mc,wrong_pressure,0.45188,0.6,0.42,0.0,1.0,0.15,0.16583004558202355
kl_projection_tau_010,gemma2_2b,Gemma-2-2B,truthfulqa_mc,correct_pressure,0.32576,0.0,0.584,0.0,1.0,0.144,0.1346920043276394
kl_projection_tau_010,gemma2_2b,Gemma-2-2B,truthfulqa_mc,wrong_pressure,0.41312,0.555,0.472,0.0,1.0,0.156,0.1804236535536581
logit_linear,gemma2_2b,Gemma-2-2B,truthfulqa_mc,correct_pressure,0.36048,0.0,0.574,0.004,1.0,0.144,0.1409468146126074
logit_linear,gemma2_2b,Gemma-2-2B,truthfulqa_mc,wrong_pressure,0.46465999999999996,0.63,0.42,0.002,1.0,0.144,0.15852408854728867
prob_linear,gemma2_2b,Gemma-2-2B,truthfulqa_mc,correct_pressure,0.38054,0.0,0.614,0.002,1.0,0.144,0.1403419712006201
prob_linear,gemma2_2b,Gemma-2-2B,truthfulqa_mc,wrong_pressure,0.5431199999999999,0.94,0.442,0.002,1.0,0.144,0.16121956833815673
geometric_prob,gemma2_9b,Gemma-2-9B,mmlu_pro,correct_pressure,0.48813999999999996,0.69,0.444,0.004,1.0,0.078,0.07426510320037827
geometric_prob,gemma2_9b,Gemma-2-9B,mmlu_pro,wrong_pressure,0.5048400000000001,0.735,0.428,0.006,1.0,0.078,0.08806887836985061
kl_projection_tau_005,gemma2_9b,Gemma-2-9B,mmlu_pro,correct_pressure,0.4967,0.71,0.418,0.0,1.0,0.07,0.07378070720284736
kl_projection_tau_005,gemma2_9b,Gemma-2-9B,mmlu_pro,wrong_pressure,0.51232,0.73,0.394,0.0,1.0,0.092,0.09227691834773821
kl_projection_tau_010,gemma2_9b,Gemma-2-9B,mmlu_pro,correct_pressure,0.45489999999999997,0.63,0.454,0.0,1.0,0.068,0.07185092325550847
kl_projection_tau_010,gemma2_9b,Gemma-2-9B,mmlu_pro,wrong_pressure,0.46996000000000004,0.675,0.434,0.0,1.0,0.096,0.10168323995063404
logit_linear,gemma2_9b,Gemma-2-9B,mmlu_pro,correct_pressure,0.48813999999999996,0.69,0.444,0.004,1.0,0.078,0.07426510320037827
logit_linear,gemma2_9b,Gemma-2-9B,mmlu_pro,wrong_pressure,0.5048400000000001,0.735,0.428,0.006,1.0,0.078,0.08806887836985061
prob_linear,gemma2_9b,Gemma-2-9B,mmlu_pro,correct_pressure,0.44767999999999997,0.425,0.516,0.004,1.0,0.078,0.07431345414652049
prob_linear,gemma2_9b,Gemma-2-9B,mmlu_pro,wrong_pressure,0.46794,0.5,0.506,0.004,1.0,0.078,0.0911813533340142
geometric_prob,gemma2_9b,Gemma-2-9B,truthfulqa_mc,correct_pressure,0.16201999999999997,0.0,0.81,0.0,1.0,0.086,0.0862122860299225
geometric_prob,gemma2_9b,Gemma-2-9B,truthfulqa_mc,wrong_pressure,0.17244,0.0,0.8,0.0,1.0,0.086,0.08465886406186669
kl_projection_tau_005,gemma2_9b,Gemma-2-9B,truthfulqa_mc,correct_pressure,0.16934,0.0,0.798,0.0,1.0,0.088,0.0860666511150074
kl_projection_tau_005,gemma2_9b,Gemma-2-9B,truthfulqa_mc,wrong_pressure,0.18051999999999999,0.0,0.788,0.0,1.0,0.086,0.08445395015664425
kl_projection_tau_010,gemma2_9b,Gemma-2-9B,truthfulqa_mc,correct_pressure,0.15066,0.0,0.81,0.0,1.0,0.088,0.08559790572238128
kl_projection_tau_010,gemma2_9b,Gemma-2-9B,truthfulqa_mc,wrong_pressure,0.15988,0.0,0.802,0.0,1.0,0.086,0.08303614305700327
logit_linear,gemma2_9b,Gemma-2-9B,truthfulqa_mc,correct_pressure,0.16201999999999997,0.0,0.81,0.0,1.0,0.086,0.0862122860299225
logit_linear,gemma2_9b,Gemma-2-9B,truthfulqa_mc,wrong_pressure,0.17244,0.0,0.8,0.0,1.0,0.086,0.08465886406186669
prob_linear,gemma2_9b,Gemma-2-9B,truthfulqa_mc,correct_pressure,0.14983999999999997,0.0,0.85,0.0,1.0,0.086,0.0865215662354691
prob_linear,gemma2_9b,Gemma-2-9B,truthfulqa_mc,wrong_pressure,0.16168000000000002,0.0,0.84,0.0,1.0,0.086,0.0847706057032283
geometric_prob,llama31_8b,Llama-3.1-8B,mmlu_pro,correct_pressure,0.6148799999999999,0.7,0.292,0.034,1.0,0.09,0.08241695799903397
geometric_prob,llama31_8b,Llama-3.1-8B,mmlu_pro,wrong_pressure,0.6,0.68,0.314,0.048,1.0,0.09,0.11068630104135435
kl_projection_tau_005,llama31_8b,Llama-3.1-8B,mmlu_pro,correct_pressure,0.5929800000000001,0.68,0.272,0.0,1.0,0.076,0.08168308172109534
kl_projection_tau_005,llama31_8b,Llama-3.1-8B,mmlu_pro,wrong_pressure,0.57534,0.68,0.288,0.0,1.0,0.128,0.11280569264407161
kl_projection_tau_010,llama31_8b,Llama-3.1-8B,mmlu_pro,correct_pressure,0.48275999999999997,0.55,0.43,0.0,1.0,0.07,0.08035250238073377
kl_projection_tau_010,llama31_8b,Llama-3.1-8B,mmlu_pro,wrong_pressure,0.46828,0.56,0.43,0.0,1.0,0.16,0.12811614631638174
logit_linear,llama31_8b,Llama-3.1-8B,mmlu_pro,correct_pressure,0.6148799999999999,0.7,0.292,0.034,1.0,0.09,0.08241695799903398
logit_linear,llama31_8b,Llama-3.1-8B,mmlu_pro,wrong_pressure,0.6,0.68,0.314,0.048,1.0,0.09,0.11068630104135437
prob_linear,llama31_8b,Llama-3.1-8B,mmlu_pro,correct_pressure,0.66526,0.8,0.252,0.034,1.0,0.09,0.08197489799285627
prob_linear,llama31_8b,Llama-3.1-8B,mmlu_pro,wrong_pressure,0.65756,0.81,0.276,0.048,1.0,0.09,0.11850347043019382
geometric_prob,llama31_8b,Llama-3.1-8B,truthfulqa_mc,correct_pressure,0.44894,0.49,0.506,0.004,1.0,0.128,0.13117148396752623
geometric_prob,llama31_8b,Llama-3.1-8B,truthfulqa_mc,wrong_pressure,0.4021799999999999,0.435,0.546,0.008,1.0,0.128,0.12076781183472114
kl_projection_tau_005,llama31_8b,Llama-3.1-8B,truthfulqa_mc,correct_pressure,0.3989,0.42,0.564,0.0,1.0,0.126,0.1323125263903661
kl_projection_tau_005,llama31_8b,Llama-3.1-8B,truthfulqa_mc,wrong_pressure,0.36867999999999995,0.365,0.572,0.0,1.0,0.122,0.11800700286007858
kl_projection_tau_010,llama31_8b,Llama-3.1-8B,truthfulqa_mc,correct_pressure,0.30982,0.265,0.668,0.0,1.0,0.13,0.1357245083208635
kl_projection_tau_010,llama31_8b,Llama-3.1-8B,truthfulqa_mc,wrong_pressure,0.29458,0.16,0.672,0.0,1.0,0.118,0.11430543622860652
logit_linear,llama31_8b,Llama-3.1-8B,truthfulqa_mc,correct_pressure,0.44894,0.49,0.506,0.004,1.0,0.128,0.13117148396752623
logit_linear,llama31_8b,Llama-3.1-8B,truthfulqa_mc,wrong_pressure,0.4021799999999999,0.435,0.546,0.008,1.0,0.128,0.12076781183472114
prob_linear,llama31_8b,Llama-3.1-8B,truthfulqa_mc,correct_pressure,0.5796399999999999,0.77,0.372,0.004,1.0,0.128,0.13052977014845626
prob_linear,llama31_8b,Llama-3.1-8B,truthfulqa_mc,wrong_pressure,0.44982,0.44,0.528,0.008,1.0,0.128,0.12041407635654132
geometric_prob,mistral_7b,Mistral-7B,mmlu_pro,correct_pressure,0.62522,0.78,0.284,0.004,1.0,0.084,0.08592268538817907
geometric_prob,mistral_7b,Mistral-7B,mmlu_pro,wrong_pressure,0.65908,0.76,0.226,0.004,1.0,0.084,0.1099301077740995
kl_projection_tau_005,mistral_7b,Mistral-7B,mmlu_pro,correct_pressure,0.6190399999999999,0.755,0.268,0.0,1.0,0.084,0.08396447097229805
kl_projection_tau_005,mistral_7b,Mistral-7B,mmlu_pro,wrong_pressure,0.63924,0.73,0.24,0.0,1.0,0.108,0.11882363485375157
kl_projection_tau_010,mistral_7b,Mistral-7B,mmlu_pro,correct_pressure,0.57464,0.7,0.316,0.0,1.0,0.084,0.08004633979374269
kl_projection_tau_010,mistral_7b,Mistral-7B,mmlu_pro,wrong_pressure,0.5951400000000001,0.66,0.304,0.0,1.0,0.114,0.14086807049097497
logit_linear,mistral_7b,Mistral-7B,mmlu_pro,correct_pressure,0.62522,0.78,0.284,0.004,1.0,0.084,0.08592268538817907
logit_linear,mistral_7b,Mistral-7B,mmlu_pro,wrong_pressure,0.65908,0.76,0.226,0.004,1.0,0.084,0.1099301077740995
prob_linear,mistral_7b,Mistral-7B,mmlu_pro,correct_pressure,0.6658399999999999,0.94,0.308,0.002,1.0,0.084,0.08527689918668623
prob_linear,mistral_7b,Mistral-7B,mmlu_pro,wrong_pressure,0.7970999999999999,0.96,0.174,0.004,1.0,0.084,0.12350521102544451
geometric_prob,mistral_7b,Mistral-7B,truthfulqa_mc,correct_pressure,0.25745999999999997,0.0,0.714,0.0,1.0,0.102,0.10167180451752705
geometric_prob,mistral_7b,Mistral-7B,truthfulqa_mc,wrong_pressure,0.31762,0.27,0.698,0.002,1.0,0.102,0.11255155252344924
kl_projection_tau_005,mistral_7b,Mistral-7B,truthfulqa_mc,correct_pressure,0.25206,0.0,0.708,0.0,1.0,0.098,0.10066418785661901
kl_projection_tau_005,mistral_7b,Mistral-7B,truthfulqa_mc,wrong_pressure,0.30557999999999996,0.25,0.712,0.0,1.0,0.104,0.11664192078709197
kl_projection_tau_010,mistral_7b,Mistral-7B,truthfulqa_mc,correct_pressure,0.22862000000000002,0.0,0.744,0.0,1.0,0.098,0.09762334835537936
kl_projection_tau_010,mistral_7b,Mistral-7B,truthfulqa_mc,wrong_pressure,0.27934000000000003,0.20500000000000002,0.748,0.0,1.0,0.108,0.12655489150027688
logit_linear,mistral_7b,Mistral-7B,truthfulqa_mc,correct_pressure,0.25745999999999997,0.0,0.714,0.0,1.0,0.102,0.10167180451752705
logit_linear,mistral_7b,Mistral-7B,truthfulqa_mc,wrong_pressure,0.31762,0.27,0.698,0.002,1.0,0.102,0.11255155252344924
prob_linear,mistral_7b,Mistral-7B,truthfulqa_mc,correct_pressure,0.33362,0.0,0.654,0.0,1.0,0.102,0.10128251142777844
prob_linear,mistral_7b,Mistral-7B,truthfulqa_mc,wrong_pressure,0.49789999999999995,0.74,0.482,0.002,1.0,0.102,0.11438192026428852
geometric_prob,qwen25_14b,Qwen2.5-14B,mmlu_pro,correct_pressure,0.47191999999999995,0.555,0.486,0.016,1.0,0.084,0.08021113540817598
geometric_prob,qwen25_14b,Qwen2.5-14B,mmlu_pro,wrong_pressure,0.46782,0.56,0.486,0.02,1.0,0.084,0.09331159282784598
kl_projection_tau_005,qwen25_14b,Qwen2.5-14B,mmlu_pro,correct_pressure,0.48360000000000003,0.63,0.468,0.0,1.0,0.08,0.07966611906700465
kl_projection_tau_005,qwen25_14b,Qwen2.5-14B,mmlu_pro,wrong_pressure,0.47806,0.575,0.478,0.0,1.0,0.088,0.09616336298665183
kl_projection_tau_010,qwen25_14b,Qwen2.5-14B,mmlu_pro,correct_pressure,0.45391999999999993,0.535,0.49,0.0,1.0,0.08,0.0764507887222824
kl_projection_tau_010,qwen25_14b,Qwen2.5-14B,mmlu_pro,wrong_pressure,0.44536000000000003,0.495,0.5,0.0,1.0,0.09,0.10499955225569861
logit_linear,qwen25_14b,Qwen2.5-14B,mmlu_pro,correct_pressure,0.47644,0.555,0.484,0.02,1.0,0.084,0.08024270626280114
logit_linear,qwen25_14b,Qwen2.5-14B,mmlu_pro,wrong_pressure,0.4713,0.56,0.486,0.024,1.0,0.084,0.09329069658854004
prob_linear,qwen25_14b,Qwen2.5-14B,mmlu_pro,correct_pressure,0.47176,0.4,0.522,0.008,1.0,0.084,0.08040208780748032
prob_linear,qwen25_14b,Qwen2.5-14B,mmlu_pro,wrong_pressure,0.49894,0.5700000000000001,0.488,0.008,1.0,0.084,0.09845736471310862
geometric_prob,qwen25_14b,Qwen2.5-14B,truthfulqa_mc,correct_pressure,0.18474000000000002,0.0,0.798,0.008,1.0,0.078,0.0754828911989319
geometric_prob,qwen25_14b,Qwen2.5-14B,truthfulqa_mc,wrong_pressure,0.19627999999999998,0.0,0.782,0.008,1.0,0.078,0.07751241526801099
kl_projection_tau_005,qwen25_14b,Qwen2.5-14B,truthfulqa_mc,correct_pressure,0.19206,0.0,0.79,0.0,1.0,0.076,0.07457175511514817
kl_projection_tau_005,qwen25_14b,Qwen2.5-14B,truthfulqa_mc,wrong_pressure,0.2048,0.0,0.774,0.0,1.0,0.078,0.07764653789226147
kl_projection_tau_010,qwen25_14b,Qwen2.5-14B,truthfulqa_mc,correct_pressure,0.17736000000000002,0.0,0.802,0.0,1.0,0.078,0.0738293602337932
kl_projection_tau_010,qwen25_14b,Qwen2.5-14B,truthfulqa_mc,wrong_pressure,0.18919999999999998,0.0,0.786,0.0,1.0,0.078,0.07905279323484295
logit_linear,qwen25_14b,Qwen2.5-14B,truthfulqa_mc,correct_pressure,0.18656,0.0,0.798,0.01,1.0,0.078,0.07560959538495521
logit_linear,qwen25_14b,Qwen2.5-14B,truthfulqa_mc,wrong_pressure,0.19816000000000003,0.0,0.784,0.008,1.0,0.078,0.0775236500740833
prob_linear,qwen25_14b,Qwen2.5-14B,truthfulqa_mc,correct_pressure,0.18966,0.0,0.81,0.0,1.0,0.078,0.07549061467280717
prob_linear,qwen25_14b,Qwen2.5-14B,truthfulqa_mc,wrong_pressure,0.20421999999999996,0.0,0.794,0.0,1.0,0.078,0.07799828088427323
geometric_prob,qwen25_15b,Qwen2.5-1.5B,mmlu_pro,correct_pressure,0.6784600000000001,0.83,0.224,0.018,1.0,0.082,0.08776999345292984
geometric_prob,qwen25_15b,Qwen2.5-1.5B,mmlu_pro,wrong_pressure,0.71842,0.84,0.166,0.018,1.0,0.082,0.11813686288968943
kl_projection_tau_005,qwen25_15b,Qwen2.5-1.5B,mmlu_pro,correct_pressure,0.6591199999999999,0.795,0.204,0.0,1.0,0.082,0.08753178333053556
kl_projection_tau_005,qwen25_15b,Qwen2.5-1.5B,mmlu_pro,wrong_pressure,0.68056,0.79,0.178,0.0,1.0,0.114,0.13113670512003434
kl_projection_tau_010,qwen25_15b,Qwen2.5-1.5B,mmlu_pro,correct_pressure,0.60016,0.73,0.242,0.0,1.0,0.084,0.08464145029717425
kl_projection_tau_010,qwen25_15b,Qwen2.5-1.5B,mmlu_pro,wrong_pressure,0.6220800000000001,0.72,0.224,0.0,1.0,0.138,0.15665733393193057
logit_linear,qwen25_15b,Qwen2.5-1.5B,mmlu_pro,correct_pressure,0.67844,0.83,0.224,0.018,1.0,0.082,0.08777046757574464
logit_linear,qwen25_15b,Qwen2.5-1.5B,mmlu_pro,wrong_pressure,0.7183999999999999,0.84,0.166,0.018,1.0,0.082,0.11813795837099694
prob_linear,qwen25_15b,Qwen2.5-1.5B,mmlu_pro,correct_pressure,0.6789,0.91,0.288,0.018,1.0,0.082,0.08614950448684339
prob_linear,qwen25_15b,Qwen2.5-1.5B,mmlu_pro,wrong_pressure,0.77838,0.94,0.186,0.018,1.0,0.082,0.1353983707995573
geometric_prob,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,correct_pressure,0.38351999999999997,0.21,0.564,0.006,1.0,0.162,0.16081438195920839
geometric_prob,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,wrong_pressure,0.52728,0.63,0.376,0.006,1.0,0.162,0.18163668558304938
kl_projection_tau_005,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,correct_pressure,0.3858,0.32,0.552,0.0,1.0,0.16,0.1595085276933492
kl_projection_tau_005,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,wrong_pressure,0.51274,0.61,0.394,0.0,1.0,0.168,0.19136855543674727
kl_projection_tau_010,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,correct_pressure,0.33476,0.07,0.596,0.0,1.0,0.158,0.15694889980411192
kl_projection_tau_010,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,wrong_pressure,0.45672,0.54,0.454,0.0,1.0,0.17,0.21050685054986798
