tube,model_key,model,dataset,pressure_type,mean_alpha,median_alpha,fraction_alpha_le_050,fraction_alpha_eq_1,clean_like_rate,wrong_follow_rate,mean_p_wrong
main,gemma2_2b,Gemma-2-2B,mmlu_pro,correct_pressure,0.7034000000000001,0.88,0.218,0.016,1.0,0.104,0.09432008323961824
main,gemma2_2b,Gemma-2-2B,mmlu_pro,wrong_pressure,0.7494400000000001,0.88,0.14,0.02,1.0,0.104,0.12910354221472506
loose,gemma2_2b,Gemma-2-2B,mmlu_pro,correct_pressure,0.66466,0.84,0.236,0.016,1.0,0.104,0.09210387155106235
loose,gemma2_2b,Gemma-2-2B,mmlu_pro,wrong_pressure,0.7138,0.84,0.162,0.02,1.0,0.104,0.1473171862460656
main,gemma2_2b,Gemma-2-2B,mmlu_pro,correct_pressure,0.7034000000000001,0.88,0.218,0.016,1.0,0.104,0.09432008323961824
main,gemma2_2b,Gemma-2-2B,mmlu_pro,wrong_pressure,0.7494400000000001,0.88,0.14,0.02,1.0,0.104,0.12910354221472506
strict,gemma2_2b,Gemma-2-2B,mmlu_pro,correct_pressure,0.73722,0.92,0.194,0.018,1.0,0.104,0.09570524011605314
strict,gemma2_2b,Gemma-2-2B,mmlu_pro,wrong_pressure,0.78334,0.91,0.128,0.02,1.0,0.104,0.1175027800122127
main,gemma2_2b,Gemma-2-2B,truthfulqa_mc,correct_pressure,0.36048,0.0,0.574,0.004,1.0,0.144,0.1409468146126074
main,gemma2_2b,Gemma-2-2B,truthfulqa_mc,wrong_pressure,0.46465999999999996,0.63,0.42,0.002,1.0,0.144,0.15852408854728867
loose,gemma2_2b,Gemma-2-2B,truthfulqa_mc,correct_pressure,0.3356,0.0,0.588,0.004,1.0,0.144,0.13874860505131953
loose,gemma2_2b,Gemma-2-2B,truthfulqa_mc,wrong_pressure,0.4377,0.59,0.446,0.002,1.0,0.144,0.16449614299842114
main,gemma2_2b,Gemma-2-2B,truthfulqa_mc,correct_pressure,0.36048,0.0,0.574,0.004,1.0,0.144,0.1409468146126074
main,gemma2_2b,Gemma-2-2B,truthfulqa_mc,wrong_pressure,0.46465999999999996,0.63,0.42,0.002,1.0,0.144,0.15852408854728867
strict,gemma2_2b,Gemma-2-2B,truthfulqa_mc,correct_pressure,0.39308000000000004,0.0,0.556,0.004,1.0,0.144,0.14264076381421312
strict,gemma2_2b,Gemma-2-2B,truthfulqa_mc,wrong_pressure,0.49716,0.67,0.402,0.002,1.0,0.144,0.1538676674533127
main,gemma2_9b,Gemma-2-9B,mmlu_pro,correct_pressure,0.48813999999999996,0.69,0.444,0.004,1.0,0.078,0.07426510320037827
main,gemma2_9b,Gemma-2-9B,mmlu_pro,wrong_pressure,0.5048400000000001,0.735,0.428,0.006,1.0,0.078,0.08806887836985061
loose,gemma2_9b,Gemma-2-9B,mmlu_pro,correct_pressure,0.45056000000000007,0.605,0.476,0.004,1.0,0.078,0.07261675609736314
loose,gemma2_9b,Gemma-2-9B,mmlu_pro,wrong_pressure,0.46724000000000004,0.67,0.444,0.006,1.0,0.078,0.09389967129878177
main,gemma2_9b,Gemma-2-9B,mmlu_pro,correct_pressure,0.48813999999999996,0.69,0.444,0.004,1.0,0.078,0.07426510320037827
main,gemma2_9b,Gemma-2-9B,mmlu_pro,wrong_pressure,0.5048400000000001,0.735,0.428,0.006,1.0,0.078,0.08806887836985061
