dataset,condition,condition_label,mean_p_clean_wrong,mean_p_reset_wrong,mean_hysteresis_gap,hysteresis_gap_ci_low,hysteresis_gap_ci_high,positive_hysteresis_rate,wrong_following_rate,conditional_lock_in_rate,conditional_lock_in_n,n_items
mmlu_pro,clean_no_mention,Clean reset,0.08695471759140969,0.0845220040433128,-0.002432713548096907,-0.004897948197720918,-0.0001122288144242849,0.5645714285714286,0.08514285714285715,,0,3500
mmlu_pro,neutral_wrong_mention,Neutral mention,0.08695471759140969,0.29304260920162767,0.2060878916102178,0.19414986992840455,0.21767335445882982,0.844,0.31285714285714283,,0,3500
mmlu_pro,explicit_false_wrong_mention,Explicit false mention,0.08695471759140969,0.1284400859837195,0.041485368392309804,0.03246257093528636,0.051034265610388714,0.634,0.134,,0,3500
mmlu_pro,quoted_false_claim,Quoted false claim,0.08695471759140969,0.1537777886714941,0.06682307108008437,0.0577887688304581,0.07582719198825434,0.7114285714285714,0.15971428571428573,,0,3500
mmlu_pro,user_pressure,User pressure,0.08695471759140969,0.5179924160414802,0.4310376984500703,0.4155414119714014,0.44609740509693724,0.7651428571428571,0.5322857142857143,0.5849889624724062,3171,3500
truthfulqa_mc,clean_no_mention,Clean reset,0.11451875323426157,0.11253727833549523,-0.0019814748987663712,-0.0052472901776520475,0.001141954718993282,0.5545714285714286,0.11257142857142857,,0,3500
truthfulqa_mc,neutral_wrong_mention,Neutral mention,0.11451875323426157,0.23746811452437586,0.12294936129011422,0.1117172233972073,0.1345642062339847,0.7554285714285714,0.24085714285714285,,0,3500
truthfulqa_mc,explicit_false_wrong_mention,Explicit false mention,0.11451875323426157,0.21703595248938154,0.10251719925511991,0.0910927833867811,0.11455639988867318,0.7254285714285714,0.22342857142857142,,0,3500
truthfulqa_mc,quoted_false_claim,Quoted false claim,0.11451875323426157,0.1401355600776684,0.02561680684340681,0.01560437321101685,0.03567131130116439,0.6337142857142857,0.14142857142857143,,0,3500
truthfulqa_mc,user_pressure,User pressure,0.11451875323426157,0.2898007884083141,0.17528203517405241,0.1605300093936211,0.19012351013685505,0.5771428571428572,0.29114285714285715,0.36171735241502684,2795,3500
