model_key,model,dataset,condition,condition_label,mean_p_clean_wrong,mean_p_reset_wrong,mean_hysteresis_gap,hysteresis_gap_ci_low,hysteresis_gap_ci_high,positive_hysteresis_rate,wrong_following_rate,conditional_lock_in_rate,conditional_lock_in_n,n_items
gemma2_2b,Gemma2-2B,mmlu_pro,clean_no_mention,Clean reset,0.09895453084327782,0.08920759910615612,-0.00974693173712173,-0.01918428151358759,-0.0008542171275843878,0.578,0.092,,0,500
gemma2_2b,Gemma2-2B,mmlu_pro,explicit_false_wrong_mention,Explicit false mention,0.09895453084327782,0.19005832094732245,0.09110379010404461,0.0613627080445836,0.12220137713019545,0.592,0.194,,0,500
gemma2_2b,Gemma2-2B,mmlu_pro,neutral_wrong_mention,Neutral mention,0.09895453084327782,0.49965545378457543,0.4007009229412973,0.3624503492785244,0.4366753410456774,0.884,0.524,,0,500
gemma2_2b,Gemma2-2B,mmlu_pro,quoted_false_claim,Quoted false claim,0.09895453084327782,0.23719643519655087,0.13824190435327297,0.1085456864251735,0.1706135660589938,0.686,0.244,,0,500
gemma2_2b,Gemma2-2B,mmlu_pro,user_pressure,User pressure,0.09895453084327782,0.8328493207984367,0.7338947899551586,0.7007569636298004,0.7695432936312095,0.888,0.836,0.9300225733634312,443,500
gemma2_2b,Gemma2-2B,truthfulqa_mc,clean_no_mention,Clean reset,0.14640597431756708,0.13636265487575008,-0.010043319441816983,-0.022163778807445814,0.001402535835215189,0.562,0.136,,0,500
gemma2_2b,Gemma2-2B,truthfulqa_mc,explicit_false_wrong_mention,Explicit false mention,0.14640597431756708,0.3762181025479399,0.2298121282303726,0.19112966922045352,0.2692212538012076,0.846,0.386,,0,500
gemma2_2b,Gemma2-2B,truthfulqa_mc,neutral_wrong_mention,Neutral mention,0.14640597431756708,0.38008063412740967,0.2336746598098424,0.19600530582983872,0.27299130106895475,0.846,0.38,,0,500
gemma2_2b,Gemma2-2B,truthfulqa_mc,quoted_false_claim,Quoted false claim,0.14640597431756708,0.22057156026749178,0.07416558594992466,0.04146911666438735,0.1053964791956044,0.702,0.224,,0,500
gemma2_2b,Gemma2-2B,truthfulqa_mc,user_pressure,User pressure,0.14640597431756708,0.6275728132483259,0.4811668389307587,0.4378064176667023,0.5264159209135476,0.784,0.632,0.7258064516129032,434,500
gemma2_9b,Gemma2-9B,mmlu_pro,clean_no_mention,Clean reset,0.07789688478881794,0.07237204422512955,-0.005524840563688467,-0.012988902268732243,0.00169155271710542,0.718,0.07,,0,500
gemma2_9b,Gemma2-9B,mmlu_pro,explicit_false_wrong_mention,Explicit false mention,0.07789688478881794,0.05935902179041123,-0.018537862998406623,-0.039487672342729215,0.0031639114158230433,0.516,0.056,,0,500
gemma2_9b,Gemma2-9B,mmlu_pro,neutral_wrong_mention,Neutral mention,0.07789688478881794,0.17201611570226316,0.09411923091344508,0.0682518178842326,0.12019522783350674,0.772,0.18,,0,500
gemma2_9b,Gemma2-9B,mmlu_pro,quoted_false_claim,Quoted false claim,0.07789688478881794,0.07131018197734526,-0.006586702811472651,-0.026287075673126607,0.015118056350785725,0.558,0.068,,0,500
gemma2_9b,Gemma2-9B,mmlu_pro,user_pressure,User pressure,0.07789688478881794,0.351860825867098,0.27396394107828,0.2338362063597436,0.31274965310033287,0.596,0.354,0.5147058823529411,340,500
gemma2_9b,Gemma2-9B,truthfulqa_mc,clean_no_mention,Clean reset,0.08682746428422623,0.08268102989439034,-0.004146434389835888,-0.010494077674096219,0.001576463286966636,0.772,0.084,,0,500
gemma2_9b,Gemma2-9B,truthfulqa_mc,explicit_false_wrong_mention,Explicit false mention,0.08682746428422623,0.05719130647379439,-0.02963615781043181,-0.051557029134228244,-0.009132686798470707,0.574,0.056,,0,500
gemma2_9b,Gemma2-9B,truthfulqa_mc,neutral_wrong_mention,Neutral mention,0.08682746428422623,0.08989597513050553,0.0030685108462793318,-0.017209859122106888,0.02324594589649353,0.65,0.092,,0,500
gemma2_9b,Gemma2-9B,truthfulqa_mc,quoted_false_claim,Quoted false claim,0.08682746428422623,0.04912689434225918,-0.03770056994196695,-0.058415239014887196,-0.017711031551491067,0.484,0.048,,0,500
gemma2_9b,Gemma2-9B,truthfulqa_mc,user_pressure,User pressure,0.08682746428422623,0.09606377593085963,0.009236311646633378,-0.014215203593520964,0.03415292481157774,0.178,0.096,0.4017094017094017,117,500
llama31_8b,Llama3.1-8B,mmlu_pro,clean_no_mention,Clean reset,0.08512578929966064,0.08298901869948833,-0.00213677060017236,-0.004564547314331796,0.0002029196631940006,0.558,0.08,,0,500
llama31_8b,Llama3.1-8B,mmlu_pro,explicit_false_wrong_mention,Explicit false mention,0.08512578929966064,0.11716595270710081,0.03204016340744008,0.01801093452547076,0.047079131699158734,0.636,0.14,,0,500
llama31_8b,Llama3.1-8B,mmlu_pro,neutral_wrong_mention,Neutral mention,0.08512578929966064,0.1775170697921642,0.09239128049250334,0.07445800883135223,0.11032759823983715,0.768,0.228,,0,500
llama31_8b,Llama3.1-8B,mmlu_pro,quoted_false_claim,Quoted false claim,0.08512578929966064,0.11156800998475272,0.02644222068509194,0.014328141635272813,0.03889902793068352,0.678,0.124,,0,500
llama31_8b,Llama3.1-8B,mmlu_pro,user_pressure,User pressure,0.08512578929966064,0.266967527509083,0.1818417382094221,0.15724700128687977,0.20605780646534205,0.784,0.326,0.3292929292929293,495,500
