model_key,model_short_name,condition,condition_label,accuracy,mean_p_wrong,mean_p_correct,mean_hysteresis_gap,wrong_following_rate,positive_hysteresis_rate,history_contamination_rate_clean_correct,clean_accuracy,clean_p_correct,clean_entropy,clean_max_probability,entropy,max_probability,n_items,hysteresis_gap_ci_low,hysteresis_gap_ci_high,clean_context_like_pass
gemma2_2b,Gemma2-2B,clean,Clean,0.416,0.12268025258042281,0.40493573481508666,0.0,0.124,0.0,0.0,0.416,0.40493573481508666,0.4338608632170695,0.8542383682941082,0.4338608632170695,0.8542383682941082,1000,0.0,0.0,True
gemma2_2b,Gemma2-2B,evidence_grounded_recovery,R7 trusted-evidence recovery,0.792,0.1714664394021249,0.7853274344223312,0.04878618682170208,0.167,0.404,0.0889423076923077,0.416,0.40493573481508666,0.4338608632170695,0.8542383682941082,0.05453416189873262,0.9805971995955283,1000,0.022219209933566995,0.07466441674628212,True
gemma2_2b,Gemma2-2B,factual_state_reconstruction,R5 factual reconstruction,0.419,0.11731314363795044,0.4129724282733037,-0.005367108942472395,0.118,0.343,0.016826923076923076,0.416,0.40493573481508666,0.4338608632170695,0.8542383682941082,0.3746879883915131,0.8784615834486171,1000,-0.013070464291215875,0.00226712614092317,True
gemma2_2b,Gemma2-2B,fresh_context_deletion,R3a fresh-context deletion,0.416,0.12268025258042281,0.40493573481508666,0.0,0.124,0.0,0.0,0.416,0.40493573481508666,0.4338608632170695,0.8542383682941082,0.4338608632170695,0.8542383682941082,1000,0.0,0.0,True
gemma2_2b,Gemma2-2B,ordinary_strong_reset,R0 ordinary reset,0.131,0.7302110670233817,0.132722779761553,0.6075308144429589,0.734,0.836,0.6346153846153846,0.416,0.40493573481508666,0.4338608632170695,0.8542383682941082,0.025950295808159652,0.9922070873783194,1000,0.5766597204756929,0.6362683579620605,False
gemma2_9b,Gemma2-9B,clean,Clean,0.607,0.08236217453652238,0.5928461993066789,0.0,0.082,0.0,0.0,0.607,0.5928461993066789,0.2873129274986859,0.9028439925540328,0.2873129274986859,0.9028439925540328,1000,0.0,0.0,True
gemma2_9b,Gemma2-9B,evidence_grounded_recovery,R7 trusted-evidence recovery,0.957,0.015664992140659317,0.9575300331393746,-0.06669718239586306,0.016,0.072,0.0032948929159802307,0.607,0.5928461993066789,0.2873129274986859,0.9028439925540328,0.013949605696553305,0.9960837179410719,1000,-0.08214678698769814,-0.05074185363251464,False
gemma2_9b,Gemma2-9B,factual_state_reconstruction,R5 factual reconstruction,0.6,0.07686975186328893,0.5944821316625146,-0.005492422673233454,0.077,0.659,0.006589785831960461,0.607,0.5928461993066789,0.2873129274986859,0.9028439925540328,0.2725712675381101,0.9099267231061845,1000,-0.012155655679451101,0.0008519325303537418,True
gemma2_9b,Gemma2-9B,fresh_context_deletion,R3a fresh-context deletion,0.607,0.08236217453652238,0.5928461993066789,0.0,0.082,0.0,0.0,0.607,0.5928461993066789,0.2873129274986859,0.9028439925540328,0.2873129274986859,0.9028439925540328,1000,0.0,0.0,True
gemma2_9b,Gemma2-9B,ordinary_strong_reset,R0 ordinary reset,0.55,0.22396230089897903,0.5502378561849159,0.14160012636245667,0.225,0.387,0.10873146622734761,0.607,0.5928461993066789,0.2873129274986859,0.9028439925540328,0.04101527560275315,0.9879553490833843,1000,0.11748247786448929,0.1661089750284818,False
llama31_8b,Llama3.1-8B,clean,Clean,0.523,0.10553329503942513,0.48310670633547476,0.0,0.109,0.0,0.0,0.523,0.48310670633547476,0.7713525837818186,0.7283957995989324,0.7713525837818186,0.7283957995989324,1000,0.0,0.0,True
llama31_8b,Llama3.1-8B,evidence_grounded_recovery,R7 trusted-evidence recovery,0.988,0.005935185349732551,0.9799828123691641,-0.09959810968969257,0.004,0.074,0.0,0.523,0.48310670633547476,0.7713525837818186,0.7283957995989324,0.04567373059257663,0.9854503473260395,1000,-0.11414903082588897,-0.08628206267046641,False
llama31_8b,Llama3.1-8B,factual_state_reconstruction,R5 factual reconstruction,0.518,0.10719233772233673,0.47904834614424224,0.0016590426829116032,0.11,0.468,0.009560229445506692,0.523,0.48310670633547476,0.7713525837818186,0.7283957995989324,0.7290668864611255,0.7424245278043925,1000,-0.0026226135334328324,0.006124146021813424,True
llama31_8b,Llama3.1-8B,fresh_context_deletion,R3a fresh-context deletion,0.523,0.10553329503942513,0.48310670633547476,0.0,0.109,0.0,0.0,0.523,0.48310670633547476,0.7713525837818186,0.7283957995989324,0.7713525837818186,0.7283957995989324,1000,0.0,0.0,True
llama31_8b,Llama3.1-8B,ordinary_strong_reset,R0 ordinary reset,0.513,0.16764966778901172,0.4804502329926804,0.06211637274958661,0.188,0.67,0.09177820267686425,0.523,0.48310670633547476,0.7713525837818186,0.7283957995989324,0.6929412494953281,0.7526387235818879,1000,0.044222057653736525,0.07986722776857948,False
mistral7b_v03,Mistral-7B-v0.3,clean,Clean,0.488,0.09783849665930938,0.48377398994109777,0.0,0.093,0.0,0.0,0.488,0.48377398994109777,0.24107428250750587,0.9056545388127342,0.24107428250750587,0.9056545388127342,1000,0.0,0.0,True
mistral7b_v03,Mistral-7B-v0.3,evidence_grounded_recovery,R7 trusted-evidence recovery,0.892,0.06883275133855549,0.8827922004477856,-0.02900574532075389,0.062,0.745,0.02663934426229508,0.488,0.48377398994109777,0.24107428250750587,0.9056545388127342,0.07857025484818149,0.9700261563715668,1000,-0.05030992577524594,-0.008137629282272293,True
mistral7b_v03,Mistral-7B-v0.3,factual_state_reconstruction,R5 factual reconstruction,0.467,0.1010361594195956,0.4658710925914871,0.0031976627602862163,0.103,0.308,0.020491803278688523,0.488,0.48377398994109777,0.24107428250750587,0.9056545388127342,0.22779759868498878,0.9104550310603249,1000,-0.003977446972750297,0.010760818693818664,True
mistral7b_v03,Mistral-7B-v0.3,fresh_context_deletion,R3a fresh-context deletion,0.488,0.09783849665930938,0.48377398994109777,0.0,0.093,0.0,0.0,0.488,0.48377398994109777,0.24107428250750587,0.9056545388127342,0.24107428250750587,0.9056545388127342,1000,0.0,0.0,True
mistral7b_v03,Mistral-7B-v0.3,ordinary_strong_reset,R0 ordinary reset,0.261,0.5509574661272341,0.2647131279333362,0.4531189694679246,0.562,0.911,0.4180327868852459,0.488,0.48377398994109777,0.24107428250750587,0.9056545388127342,0.09118432867662551,0.9664268905504425,1000,0.4226136088291009,0.48529107583173214,False
qwen25_14b,Qwen2.5-14B,clean,Clean,0.609,0.08005987065159795,0.6109419821173006,0.0,0.081,0.0,0.0,0.609,0.6109419821173006,0.13101276983486893,0.9480921220431676,0.13101276983486893,0.9480921220431676,1000,0.0,0.0,True
qwen25_14b,Qwen2.5-14B,evidence_grounded_recovery,R7 trusted-evidence recovery,0.987,0.0031445265005557513,0.9867545916266274,-0.07691534415104219,0.003,0.031,0.0,0.609,0.6109419821173006,0.13101276983486893,0.9480921220431676,0.0054413214538548945,0.9979081072167418,1000,-0.0924752422852522,-0.062230779799044594,False
qwen25_14b,Qwen2.5-14B,factual_state_reconstruction,R5 factual reconstruction,0.645,0.07016366623776023,0.6381443106605157,-0.009896204413837718,0.068,0.409,0.0016420361247947454,0.609,0.6109419821173006,0.13101276983486893,0.9480921220431676,0.12671445634828166,0.9485736045682384,1000,-0.01597989668221643,-0.004061240200994659,True
qwen25_14b,Qwen2.5-14B,fresh_context_deletion,R3a fresh-context deletion,0.609,0.08005987065159795,0.6109419821173006,0.0,0.081,0.0,0.0,0.609,0.6109419821173006,0.13101276983486893,0.9480921220431676,0.13101276983486893,0.9480921220431676,1000,0.0,0.0,True
qwen25_14b,Qwen2.5-14B,ordinary_strong_reset,R0 ordinary reset,0.549,0.23446169591456992,0.5483389952856621,0.15440182526297194,0.236,0.527,0.10837438423645321,0.609,0.6109419821173006,0.13101276983486893,0.9480921220431676,0.0378909502998475,0.984929343544028,1000,0.12891722149857415,0.17893103161545273,False
qwen25_15b,Qwen2.5-1.5B,clean,Clean,0.383,0.128392785490815,0.3819707767550917,0.0,0.126,0.0,0.0,0.383,0.3819707767550917,0.4331104267005691,0.8404460913107339,0.4331104267005691,0.8404460913107339,1000,0.0,0.0,True
qwen25_15b,Qwen2.5-1.5B,evidence_grounded_recovery,R7 trusted-evidence recovery,0.934,0.03929300908152776,0.9256210513985709,-0.08909977640928728,0.039,0.398,0.02610966057441253,0.383,0.3819707767550917,0.4331104267005691,0.8404460913107339,0.08661099383081393,0.9719031346305618,1000,-0.10938102406208988,-0.0692168742029093,False
qwen25_15b,Qwen2.5-1.5B,factual_state_reconstruction,R5 factual reconstruction,0.327,0.14341754544885413,0.3280621562752178,0.01502475995803909,0.14,0.554,0.031331592689295036,0.383,0.3819707767550917,0.4331104267005691,0.8404460913107339,0.3945167413493268,0.8540267741142038,1000,0.0069523566422479725,0.023088843981886837,False
qwen25_15b,Qwen2.5-1.5B,fresh_context_deletion,R3a fresh-context deletion,0.383,0.128392785490815,0.3819707767550917,0.0,0.126,0.0,0.0,0.383,0.3819707767550917,0.4331104267005691,0.8404460913107339,0.4331104267005691,0.8404460913107339,1000,0.0,0.0,True
qwen25_15b,Qwen2.5-1.5B,ordinary_strong_reset,R0 ordinary reset,0.087,0.695291000822172,0.09085260323134248,0.5668982153313571,0.712,0.917,0.6631853785900783,0.383,0.3819707767550917,0.4331104267005691,0.8404460913107339,0.1574123153020535,0.950118983134772,1000,0.5387203348220467,0.5950996907360614,False
qwen25_7b,Qwen2.5-7B,clean,Clean,0.562,0.08829027293175841,0.5661539540247693,0.0,0.093,0.0,0.0,0.562,0.5661539540247693,0.19509623653425973,0.9227100677322387,0.19509623653425973,0.9227100677322387,1000,0.0,0.0,True
qwen25_7b,Qwen2.5-7B,evidence_grounded_recovery,R7 trusted-evidence recovery,0.955,0.012521790604618619,0.9556055329717139,-0.0757684823271398,0.012,0.091,0.0017793594306049821,0.562,0.5661539540247693,0.19509623653425973,0.9227100677322387,0.015091997469500424,0.9940955938531875,1000,-0.09273112326566357,-0.05923254806937352,False
qwen25_7b,Qwen2.5-7B,factual_state_reconstruction,R5 factual reconstruction,0.593,0.07978364521350707,0.5919102374960769,-0.008506627718251347,0.084,0.427,0.005338078291814947,0.562,0.5661539540247693,0.19509623653425973,0.9227100677322387,0.182159622590578,0.9268137130130836,1000,-0.015817806524152996,-0.0011874420235795668,True
qwen25_7b,Qwen2.5-7B,fresh_context_deletion,R3a fresh-context deletion,0.562,0.08829027293175841,0.5661539540247693,0.0,0.093,0.0,0.0,0.562,0.5661539540247693,0.19509623653425973,0.9227100677322387,0.19509623653425973,0.9227100677322387,1000,0.0,0.0,True
