suite,model_key,model_short_name,dataset,r0_accuracy,r7_accuracy,delta_accuracy,r0_mean_p_wrong,r7_mean_p_wrong,delta_mean_p_wrong,r0_mean_p_correct,r7_mean_p_correct,delta_mean_p_correct,r0_mean_hysteresis_gap,r7_mean_hysteresis_gap,delta_mean_hysteresis_gap,r0_wrong_following_rate,r7_wrong_following_rate,delta_wrong_following_rate,r0_history_contamination_rate_clean_correct,r7_history_contamination_rate_clean_correct,delta_history_contamination_rate_clean_correct,n_items
expanded,gemma2_2b,Gemma2-2B,mmlu_pro,0.066,0.752,0.6859999999999999,0.832849320798437,0.21636933843708692,-0.61647998236135,0.06619658862097064,0.7416016207574642,0.6754050321364935,0.7338947899551588,0.11741480759380869,-0.61647998236135,0.836,0.208,-0.628,0.7785714285714286,0.14285714285714285,-0.6357142857142857,500
expanded,gemma2_2b,Gemma2-2B,truthfulqa_mc,0.196,0.832,0.6359999999999999,0.6275728132483263,0.12656354036716289,-0.5010092728811634,0.1992489709021353,0.829053248087198,0.6298042771850627,0.4811668389307588,-0.01984243395040453,-0.5010092728811634,0.632,0.126,-0.506,0.5615942028985508,0.06159420289855073,-0.5,500
expanded,gemma2_9b,Gemma2-9B,mmlu_pro,0.314,0.934,0.6200000000000001,0.3518608258670983,0.020783855327569725,-0.3310769705395286,0.3152608385561002,0.9330344013376536,0.6177735627815534,0.27396394107828004,-0.05711302946124854,-0.33107697053952856,0.354,0.02,-0.33399999999999996,0.25116279069767444,0.009302325581395349,-0.2418604651162791,500
expanded,gemma2_9b,Gemma2-9B,truthfulqa_mc,0.786,0.98,0.19399999999999995,0.09606377593085975,0.010546128953748901,-0.08551764697711085,0.7852148738137317,0.9820256649410958,0.1968107911273641,0.009236311646633287,-0.07628133533047757,-0.08551764697711085,0.096,0.012,-0.084,0.030612244897959183,0.0,-0.030612244897959183,500
expanded,llama31_8b,Llama3.1-8B,mmlu_pro,0.324,0.976,0.6519999999999999,0.2669675275090834,0.011687772940374472,-0.25527975456870894,0.2912802913198216,0.9627083679225081,0.6714280766026866,0.18184173820942232,-0.07343801635928661,-0.25527975456870894,0.326,0.008,-0.318,0.2028985507246377,0.0,-0.2028985507246377,500
expanded,llama31_8b,Llama3.1-8B,truthfulqa_mc,0.702,1.0,0.29800000000000004,0.06833180806894007,0.0001825977590906305,-0.06814921030984944,0.6696201746655392,0.99725725681582,0.32763708215028076,-0.05760899271024912,-0.12575820302009855,-0.06814921030984943,0.05,0.0,-0.05,0.0189873417721519,0.0,-0.0189873417721519,500
original,mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,0.09,0.858,0.768,0.7499567323059989,0.09410702470333443,-0.6558497076026645,0.09084874490613813,0.84496816282125,0.7541194179151118,0.6592114301852702,0.0033617225826056314,-0.6558497076026646,0.756,0.084,-0.672,0.6932515337423313,0.06748466257668712,-0.6257668711656441,500
original,mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,0.432,0.926,0.49400000000000005,0.3519581999484691,0.04355847797377654,-0.30839972197469256,0.43857751096053416,0.9206162380743212,0.4820387271137871,0.2470265087505791,-0.06137321322411342,-0.3083997219746925,0.368,0.04,-0.328,0.28,0.006153846153846154,-0.27384615384615385,500
original,qwen25_14b,Qwen2.5-14B,mmlu_pro,0.36,0.98,0.62,0.3562200871405451,0.004254953483593754,-0.35196513365695137,0.35949037997262107,0.9799067282193611,0.62041634824674,0.27210597750655097,-0.07985915615040033,-0.3519651336569513,0.358,0.004,-0.354,0.2149122807017544,0.0,-0.2149122807017544,500
original,qwen25_14b,Qwen2.5-14B,truthfulqa_mc,0.738,0.994,0.256,0.11270330468859475,0.002034099517517748,-0.110669205171077,0.7371876105987033,0.9936024550338939,0.2564148444351906,0.036697673019392966,-0.07397153215168405,-0.110669205171077,0.114,0.002,-0.112,0.04461942257217848,0.0,-0.04461942257217848,500
original,qwen25_15b,Qwen2.5-1.5B,mmlu_pro,0.086,0.898,0.812,0.7255437898838972,0.05045077655640893,-0.6750930133274883,0.09121966906346489,0.8882291604236191,0.7970094913601542,0.6343029031006013,-0.04079011022688695,-0.6750930133274883,0.752,0.052,-0.7,0.7299270072992701,0.051094890510948905,-0.6788321167883211,500
original,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,0.088,0.97,0.882,0.665038211760447,0.028135241606646603,-0.6369029701538004,0.09048553739922005,0.9630129423735228,0.8725274049743027,0.49949352756211274,-0.1374094425916876,-0.6369029701538004,0.672,0.026,-0.646,0.6260162601626016,0.012195121951219513,-0.6138211382113821,500
original,qwen25_7b,Qwen2.5-7B,mmlu_pro,0.306,0.922,0.6160000000000001,0.3425486287853029,0.022150852137704163,-0.3203977766475987,0.3066716499963202,0.9232424920487833,0.6165708420524632,0.2619431091152095,-0.058454667532389246,-0.3203977766475988,0.344,0.022,-0.32199999999999995,0.24056603773584906,0.0047169811320754715,-0.2358490566037736,500
original,qwen25_7b,Qwen2.5-7B,truthfulqa_mc,0.666,0.988,0.32199999999999995,0.10693740521256323,0.002892729071533074,-0.10404467614103016,0.663587758265818,0.9879685738946445,0.3243808156288266,0.010962379019139799,-0.09308229712189035,-0.10404467614103015,0.106,0.002,-0.104,0.045714285714285714,0.0,-0.045714285714285714,500
