suite,model_key,model_short_name,dataset,condition,condition_label,accuracy,mean_p_wrong,mean_p_correct,mean_hysteresis_gap,wrong_following_rate,positive_hysteresis_rate,history_contamination_rate_clean_correct,clean_accuracy,clean_p_correct,clean_entropy,clean_max_probability,entropy,max_probability,n_items,hysteresis_gap_ci_low,hysteresis_gap_ci_high,clean_context_like_pass
expanded,gemma2_2b,Gemma2-2B,mmlu_pro,clean,Clean,0.28,0.09895453084327824,0.2660679343026054,0.0,0.104,0.0,0.0,0.28,0.2660679343026054,0.7247680255187127,0.7597612769879902,0.7247680255187127,0.7597612769879902,500,0.0,0.0,True
expanded,gemma2_2b,Gemma2-2B,mmlu_pro,evidence_grounded_recovery,R7 trusted-evidence recovery,0.752,0.21636933843708692,0.7416016207574642,0.11741480759380869,0.208,0.394,0.14285714285714285,0.28,0.2660679343026054,0.7247680255187127,0.7597612769879902,0.0676421284545391,0.9758541954557475,500,0.08220531894539805,0.15231436067562865,False
expanded,gemma2_2b,Gemma2-2B,mmlu_pro,factual_state_reconstruction,R5 factual reconstruction,0.276,0.09008344190071915,0.26772736287140025,-0.008871088942559077,0.09,0.338,0.014285714285714285,0.28,0.2660679343026054,0.7247680255187127,0.7597612769879902,0.6211536328772977,0.8006206778635756,500,-0.01735970441811201,-0.00017962418339206783,True
expanded,gemma2_2b,Gemma2-2B,mmlu_pro,fresh_context_deletion,R3a fresh-context deletion,0.28,0.09895453084327824,0.2660679343026054,0.0,0.104,0.0,0.0,0.28,0.2660679343026054,0.7247680255187127,0.7597612769879902,0.7247680255187127,0.7597612769879902,500,0.0,0.0,True
expanded,gemma2_2b,Gemma2-2B,mmlu_pro,ordinary_strong_reset,R0 ordinary reset,0.066,0.832849320798437,0.06619658862097064,0.7338947899551588,0.836,0.888,0.7785714285714286,0.28,0.2660679343026054,0.7247680255187127,0.7597612769879902,0.03067413073959703,0.9905052644000973,500,0.7007569636298008,0.7695432936312098,False
expanded,gemma2_2b,Gemma2-2B,truthfulqa_mc,clean,Clean,0.552,0.1464059743175674,0.543803535327568,0.0,0.144,0.0,0.0,0.552,0.543803535327568,0.1429537009154264,0.9487154596002263,0.1429537009154264,0.9487154596002263,500,0.0,0.0,True
expanded,gemma2_2b,Gemma2-2B,truthfulqa_mc,evidence_grounded_recovery,R7 trusted-evidence recovery,0.832,0.12656354036716289,0.829053248087198,-0.01984243395040453,0.126,0.414,0.06159420289855073,0.552,0.543803535327568,0.1429537009154264,0.9487154596002263,0.04142619534292615,0.985340203735309,500,-0.05676736785069398,0.01691030235363167,True
expanded,gemma2_2b,Gemma2-2B,truthfulqa_mc,factual_state_reconstruction,R5 factual reconstruction,0.562,0.1445428453751817,0.5582174936752071,-0.0018631289423857163,0.146,0.348,0.018115942028985508,0.552,0.543803535327568,0.1429537009154264,0.9487154596002263,0.1282223439057285,0.956302489033659,500,-0.015319896405935252,0.010956482073062664,True
expanded,gemma2_2b,Gemma2-2B,truthfulqa_mc,fresh_context_deletion,R3a fresh-context deletion,0.552,0.1464059743175674,0.543803535327568,0.0,0.144,0.0,0.0,0.552,0.543803535327568,0.1429537009154264,0.9487154596002263,0.1429537009154264,0.9487154596002263,500,0.0,0.0,True
expanded,gemma2_2b,Gemma2-2B,truthfulqa_mc,ordinary_strong_reset,R0 ordinary reset,0.196,0.6275728132483263,0.1992489709021353,0.4811668389307588,0.632,0.784,0.5615942028985508,0.552,0.543803535327568,0.1429537009154264,0.9487154596002263,0.021226460876722277,0.9939089103565416,500,0.4378064176667025,0.5264159209135477,False
expanded,gemma2_9b,Gemma2-9B,mmlu_pro,clean,Clean,0.43,0.07789688478881827,0.410389294772807,0.0,0.078,0.0,0.0,0.43,0.410389294772807,0.49374082769328986,0.832531775385452,0.49374082769328986,0.832531775385452,500,0.0,0.0,True
expanded,gemma2_9b,Gemma2-9B,mmlu_pro,evidence_grounded_recovery,R7 trusted-evidence recovery,0.934,0.020783855327569725,0.9330344013376536,-0.05711302946124854,0.02,0.11,0.009302325581395349,0.43,0.410389294772807,0.49374082769328986,0.832531775385452,0.019423317051843345,0.9949607381354902,500,-0.07997930173463674,-0.036529208606790445,False
expanded,gemma2_9b,Gemma2-9B,mmlu_pro,factual_state_reconstruction,R5 factual reconstruction,0.398,0.07343923352401617,0.39342704656319144,-0.004457651264802078,0.074,0.606,0.013953488372093023,0.43,0.410389294772807,0.49374082769328986,0.832531775385452,0.45836764957835413,0.8478079941202988,500,-0.013982085097127187,0.005200013501434223,False
expanded,gemma2_9b,Gemma2-9B,mmlu_pro,fresh_context_deletion,R3a fresh-context deletion,0.43,0.07789688478881827,0.410389294772807,0.0,0.078,0.0,0.0,0.43,0.410389294772807,0.49374082769328986,0.832531775385452,0.49374082769328986,0.832531775385452,500,0.0,0.0,True
expanded,gemma2_9b,Gemma2-9B,mmlu_pro,ordinary_strong_reset,R0 ordinary reset,0.314,0.3518608258670983,0.3152608385561002,0.27396394107828004,0.354,0.596,0.25116279069767444,0.43,0.410389294772807,0.49374082769328986,0.832531775385452,0.0669541983344073,0.9805518876655993,500,0.23383620635974364,0.312749653100333,False
expanded,gemma2_9b,Gemma2-9B,truthfulqa_mc,clean,Clean,0.784,0.08682746428422647,0.7753031038405511,0.0,0.086,0.0,0.0,0.784,0.7753031038405511,0.08088502730408194,0.9731562097226137,0.08088502730408194,0.9731562097226137,500,0.0,0.0,True
expanded,gemma2_9b,Gemma2-9B,truthfulqa_mc,evidence_grounded_recovery,R7 trusted-evidence recovery,0.98,0.010546128953748901,0.9820256649410958,-0.07628133533047757,0.012,0.034,0.0,0.784,0.7753031038405511,0.08088502730408194,0.9731562097226137,0.008475894341263265,0.9972066977466536,500,-0.10024016423079893,-0.05295577411615555,False
