model_key,model,dataset,phase_index,phase,condition,n,mean_p_wrong,p_wrong_ci_low,p_wrong_ci_high,p_wrong_se,bootstrap_samples,bootstrap_seed
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,0,clean,clean_context,500,0.09074530212072879,0.06983355792867031,0.11188588706446921,0.011255960201163762,2000,12345
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,1,weak pressure,weak_pressure,500,0.5893908946820484,0.550673987619815,0.6272226096841707,0.020002489243278507,2000,12345
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,2,medium pressure,medium_pressure,500,0.8477569007286224,0.8156232875536057,0.8765064078682022,0.014866290816246706,2000,12345
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,3,strong pressure,strong_pressure,500,0.9146155576722205,0.8902533821348582,0.9361357650078723,0.011428983890836917,2000,12345
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,4,medium reset,medium_reset,500,0.7802611712486877,0.745900040037624,0.8153400543579625,0.016846421037548673,2000,12345
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,5,strong reset,strong_reset,500,0.749956732305999,0.7119941626252021,0.7883645460475632,0.01847548074879662,2000,12345
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,6,clean probe,clean_context_probe,500,0.09074530212072879,0.06983355792867031,0.11188588706446921,0.011255960201163762,2000,12345
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,0,clean,clean_context,500,0.10493169119788996,0.07917631845894063,0.13264756227539237,0.013096090724552605,2000,12345
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,1,weak pressure,weak_pressure,500,0.3291361362841353,0.29079055052211844,0.37012317761811875,0.01998169144009864,2000,12345
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,2,medium pressure,medium_pressure,500,0.7421178894087811,0.7082671734509783,0.7774463903655954,0.017971848640207365,2000,12345
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,3,strong pressure,strong_pressure,500,0.826249770624361,0.7950192986237229,0.8569313554861271,0.015753024221933573,2000,12345
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,4,medium reset,medium_reset,500,0.3909078122819847,0.35042212241885073,0.42881227928578075,0.019679459614326794,2000,12345
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,5,strong reset,strong_reset,500,0.3519581999484691,0.3119916335978596,0.39156598663734904,0.020464335649168202,2000,12345
