model,dataset,condition,n_items,clean_pw_mean,condition_pw_mean,condition_pc_mean,hysteresis_gap_mean,accuracy,wrong_answer_following_rate,history_contamination,contamination_given_clean_correct,entropy_mean,max_probability_mean,restoration_ratio,clean_context_like_recovery
Qwen2.5-1.5B,TruthfulQA-MC,full_history_reset,500,0.1655446841983342,0.665038211760447,0.09048553739922006,0.49949352756211274,0.088,0.672,0.416,0.8455284552845529,0.12468974123629827,0.9570821777077654,0.0,False
Qwen2.5-1.5B,TruthfulQA-MC,remove_strong_only,500,0.1655446841983342,0.6162520121684201,0.11948821505161634,0.4507073279700859,0.11,0.624,0.396,0.8048780487804879,0.15060378992912382,0.9436217026540544,0.09767133486221242,False
Qwen2.5-1.5B,TruthfulQA-MC,remove_medium_strong,500,0.1655446841983342,0.5011173916964381,0.19551544672178656,0.3355727074981038,0.188,0.514,0.32,0.6504065040650406,0.18068364278925408,0.9316973300986064,0.3281740623628504,False
Qwen2.5-1.5B,TruthfulQA-MC,remove_all_pressure,500,0.1655446841983342,0.18537543257036368,0.43832169260599824,0.01983074837202948,0.436,0.188,0.12,0.24390243902439024,0.19144090624959245,0.9284853289767994,0.960298287609816,False
Qwen2.5-1.5B,TruthfulQA-MC,reset_only,500,0.1655446841983342,0.15389900964497863,0.5273948859543047,-0.011645674553355577,0.538,0.154,0.02,0.04065040650406504,0.24394917995362442,0.9044377757530264,1.02331496588193,True
Qwen2.5-1.5B,TruthfulQA-MC,fresh_context,500,0.1655446841983342,0.1655446841983342,0.49042218553868866,0.0,0.492,0.168,0.0,0.0,0.21983318528944185,0.9131744433540016,1.0,True
Qwen2.5-1.5B,MMLU-Pro,full_history_reset,500,0.09124088678329587,0.7255437898838971,0.09121966906346489,0.6343029031006014,0.086,0.752,0.216,0.7883211678832117,0.19013488936780873,0.9431557885617787,0.0,False
Qwen2.5-1.5B,MMLU-Pro,remove_strong_only,500,0.09124088678329587,0.6518437632821974,0.11325826029251203,0.5606028764989016,0.11,0.682,0.192,0.7007299270072993,0.25115058466585294,0.9246047195520064,0.11619058692848343,False
Qwen2.5-1.5B,MMLU-Pro,remove_medium_strong,500,0.09124088678329587,0.48900359260163484,0.16757253422572735,0.397762705818339,0.164,0.52,0.158,0.5766423357664233,0.35210472993487624,0.8926935547916262,0.37291362868750233,False
Qwen2.5-1.5B,MMLU-Pro,remove_all_pressure,500,0.09124088678329587,0.09472674051702944,0.272080591550394,0.0034858537337335593,0.288,0.094,0.044,0.16058394160583941,0.5893030445850193,0.7962401835728772,0.994504433581032,True
